feature,importance,fold
NAME_TYPE_SUITE_Unaccompanied,0.14855438719170486,1
NAME_INCOME_TYPE_Businessman,0.0,1
NAME_INCOME_TYPE_Commercial associate,0.06850996309870347,1
NAME_INCOME_TYPE_Pensioner,0.0029633596414358966,1
NAME_INCOME_TYPE_State servant,0.18155233876317492,1
NAME_INCOME_TYPE_Student,0.0,1
NAME_INCOME_TYPE_Unemployed,0.01473569949071207,1
NAME_INCOME_TYPE_Working,0.210553125601921,1
NAME_EDUCATION_TYPE_Academic degree,0.011491275526993068,1
NAME_EDUCATION_TYPE_Higher education,1.1250957815782086,1
NAME_EDUCATION_TYPE_Incomplete higher,0.04459994453442241,1
NAME_EDUCATION_TYPE_Lower secondary,0.10384688861581859,1
NAME_EDUCATION_TYPE_Secondary / secondary special,0.4481809159888591,1
NAME_FAMILY_STATUS_Civil marriage,0.05105168595390874,1
NAME_FAMILY_STATUS_Married,0.6428507927519446,1
NAME_FAMILY_STATUS_Separated,0.07431095551852822,1
NAME_FAMILY_STATUS_Single / not married,0.07436084085778816,1
NAME_FAMILY_STATUS_Widow,0.10600195267832643,1
NAME_HOUSING_TYPE_Co-op apartment,0.006871856795678005,1
NAME_HOUSING_TYPE_House / apartment,0.10711019837278794,1
NAME_HOUSING_TYPE_Municipal apartment,0.1562468666813585,1
NAME_HOUSING_TYPE_Office apartment,0.09478989283241275,1
NAME_HOUSING_TYPE_Rented apartment,0.026096714230031844,1
NAME_HOUSING_TYPE_With parents,0.035259563292624786,1
OCCUPATION_TYPE_Accountants,0.08827567319895262,1
OCCUPATION_TYPE_Cleaning staff,0.037620982830811785,1
OCCUPATION_TYPE_Cooking staff,0.004319778692492177,1
OCCUPATION_TYPE_Core staff,0.2959247583257839,1
OCCUPATION_TYPE_Drivers,0.1291360767518911,1
OCCUPATION_TYPE_HR staff,0.012884466339068167,1
OCCUPATION_TYPE_High skill tech staff,0.14456165419985667,1
OCCUPATION_TYPE_IT staff,0.0012889966758259418,1
OCCUPATION_TYPE_Laborers,0.09725982537617163,1
OCCUPATION_TYPE_Low-skill Laborers,0.0058209285701929575,1
OCCUPATION_TYPE_Managers,0.019340825766263916,1
OCCUPATION_TYPE_Medicine staff,0.0865394938861721,1
OCCUPATION_TYPE_Private service staff,0.04801564469305963,1
OCCUPATION_TYPE_Realty agents,0.004526383003952396,1
OCCUPATION_TYPE_Sales staff,0.06704805893974064,1
OCCUPATION_TYPE_Secretaries,0.03757909525475931,1
OCCUPATION_TYPE_Security staff,0.05958966968701542,1
OCCUPATION_TYPE_Waiters/barmen staff,0.004915173344305485,1
WEEKDAY_APPR_PROCESS_START_FRIDAY,0.06741039952645829,1
WEEKDAY_APPR_PROCESS_START_MONDAY,0.07217010800510448,1
WEEKDAY_APPR_PROCESS_START_SATURDAY,0.05949415875218158,1
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.0645904484467318,1
WEEKDAY_APPR_PROCESS_START_THURSDAY,0.03342555810747865,1
WEEKDAY_APPR_PROCESS_START_TUESDAY,0.04949227527370347,1
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.11176164737397207,1
ORGANIZATION_TYPE_Advertising,0.008266837524591727,1
ORGANIZATION_TYPE_Agriculture,0.007655921678082535,1
ORGANIZATION_TYPE_Bank,0.13056328224932903,1
ORGANIZATION_TYPE_Business Entity Type 1,0.03416256308126319,1
ORGANIZATION_TYPE_Business Entity Type 2,0.009311034878301516,1
ORGANIZATION_TYPE_Business Entity Type 3,0.07779561136733383,1
ORGANIZATION_TYPE_Cleaning,0.0,1
ORGANIZATION_TYPE_Construction,0.18247268123855595,1
ORGANIZATION_TYPE_Culture,0.015426179392608434,1
ORGANIZATION_TYPE_Electricity,0.004882105791252442,1
ORGANIZATION_TYPE_Emergency,0.008929077494559526,1
ORGANIZATION_TYPE_Government,0.026518687914418127,1
ORGANIZATION_TYPE_Hotel,0.04313156474143667,1
ORGANIZATION_TYPE_Housing,0.013508678482624763,1
ORGANIZATION_TYPE_Industry: type 1,0.004283947191310103,1
ORGANIZATION_TYPE_Industry: type 10,0.002509594764233701,1
