fold,train_auc,valid_auc
1,0.8071540903253437,0.7635901899902487
2,0.7986431316721839,0.7659899887179351
3,0.8059634435851737,0.7705166407801147
4,0.800997192041358,0.7667040191171874
5,0.8066963170055537,0.7673597074026334
